education,hours-per-week,sex,age,race,workclass,Major_Group,Age_Group
Bachelors,40,Male,39,White,State-gov,Business,36–45
Bachelors,13,Male,50,White,Self-emp-not-inc,Business,46–55
HS-grad,40,Male,38,White,Private,Other,36–45
Less than HS,40,Male,53,Black,Private,Other,46–55
Bachelors,40,Female,28,Black,Private,Health,26–35
Masters,40,Female,37,White,Private,Other,36–45
Less than HS,16,Female,49,Black,Private,Other,46–55
HS-grad,45,Male,52,White,Self-emp-not-inc,Other,46–55
Masters,50,Female,31,White,Private,Health,26–35
Bachelors,40,Male,42,White,Private,Business,36–45
Some-college,80,Male,37,Black,Private,Business,36–45
Bachelors,40,Male,30,Asian-Pac-Islander,State-gov,Health,26–35
Bachelors,30,Female,23,White,Private,Business,18–25
Assoc-acdm,50,Male,32,Black,Private,Industrial Arts & Consumer Services,26–35
Less than HS,45,Male,34,Amer-Indian-Eskimo,Private,Other,26–35
HS-grad,35,Male,25,White,Self-emp-not-inc,Other,18–25
HS-grad,40,Male,32,White,Private,Other,26–35
Less than HS,50,Male,38,White,Private,Other,36–45
Masters,45,Female,43,White,Self-emp-not-inc,Other,36–45
Doctorate,60,Male,40,White,Private,Other,36–45
HS-grad,20,Female,54,Black,Private,Other,46–55
Less than HS,40,Male,35,Black,Federal-gov,Other,26–35
Less than HS,40,Male,43,White,Private,Other,36–45
HS-grad,40,Female,59,White,Private,Other,56–65
Bachelors,40,Male,56,White,Local-gov,Engineering,56–65
HS-grad,40,Male,19,White,Private,Other,18–25
HS-grad,80,Male,39,White,Private,Other,36–45
HS-grad,40,Male,49,White,Private,Other,46–55
Assoc-acdm,52,Male,23,White,Local-gov,Industrial Arts & Consumer Services,18–25
Some-college,44,Male,20,Black,Private,Business,18–25
Bachelors,40,Male,45,White,Private,Business,36–45
Some-college,40,Male,30,White,Federal-gov,Business,26–35
Some-college,15,Male,22,Black,State-gov,Other,18–25
Less than HS,40,Male,48,White,Private,Other,46–55
Some-college,40,Male,21,White,Private,Other,18–25
HS-grad,25,Female,19,White,Private,Other,18–25
Assoc-acdm,40,Male,48,White,Self-emp-not-inc,Industrial Arts & Consumer Services,46–55
Less than HS,43,Male,31,White,Private,Other,26–35
Bachelors,40,Male,53,White,Self-emp-not-inc,Health,46–55
Bachelors,50,Male,24,White,Private,Engineering,18–25
HS-grad,40,Female,49,White,Private,Other,46–55
HS-grad,35,Male,25,White,Private,Other,18–25
Bachelors,40,Male,57,Black,Federal-gov,Health,56–65
HS-grad,38,Male,53,White,Private,Other,46–55
Masters,40,Female,44,White,Private,Other,36–45
Assoc-voc,40,Male,41,White,State-gov,Industrial Arts & Consumer Services,36–45
Assoc-voc,43,Male,29,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,40,Female,25,Other,Private,Business,18–25
Prof-school,60,Female,47,White,Private,Law & Public Policy,46–55
Bachelors,55,Male,50,White,Federal-gov,Business,46–55
HS-grad,60,Male,47,White,Self-emp-inc,Other,46–55
Some-college,40,Male,43,White,Private,Engineering,36–45
Less than HS,40,Male,46,White,Private,Other,46–55
Assoc-voc,40,Male,35,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,48,Male,41,White,Private,Other,36–45
HS-grad,40,Male,30,White,Private,Other,26–35
Bachelors,40,Male,30,White,Private,Business,26–35
HS-grad,40,Male,48,White,Private,Other,46–55
Doctorate,45,Male,42,White,Private,Other,36–45
Some-college,58,Male,29,White,Private,Engineering,26–35
HS-grad,40,Male,36,White,Private,Other,36–45
Some-college,40,Female,28,White,Private,Business,26–35
HS-grad,40,Female,53,White,Private,Other,46–55
Some-college,50,Male,49,White,Self-emp-inc,Business,46–55
Some-college,32,Male,19,White,Private,Health,18–25
Bachelors,40,Female,31,Black,Private,Business,26–35
Bachelors,70,Male,29,White,Self-emp-not-inc,Business,26–35
Some-college,40,Male,23,White,Private,Other,18–25
Some-college,20,Male,79,White,Private,Health,66+
HS-grad,40,Male,27,White,Private,Other,26–35
Assoc-acdm,40,Male,40,White,Private,Industrial Arts & Consumer Services,36–45
